"Seq","Baseline Err. Norm (trans)","(rot)","Corrected Err. Norm (trans)","(rot)","Baseline Seg Errs. (trans)","(rot)","Corrected Seg Errs.(trans)","(rot)"
"00",168.266520758,0.648295235539,201.125775285,0.88284535529,14.5165225696,0.046426441815,16.6809538878,0.0463093928692
"02",335.824427198,0.890993977991,398.032369874,1.6330140591,13.7422947809,0.0343659432817,10.1878739355,0.0380594284711
"05",73.443331325,0.214182993042,86.4571150845,0.539104473665,14.9885872167,0.0424458708026,8.41197767747,0.035316681446
