"Seq","Baseline Err. Norm (trans)","(rot)","Corrected Err. Norm (trans)","(rot)","Baseline Seg Errs. (trans)","(rot)","Corrected Seg Errs.(trans)","(rot)"
"00",168.266520758,0.648295235539,84.5415177397,0.382221678121,14.5165225696,0.046426441815,9.58258834178,0.0252776308863
"02",335.824427198,0.890993977991,269.904576481,0.926927998307,13.7422947809,0.0343659432817,9.24540490778,0.0259897701029
"05",73.443331325,0.214182993042,71.4159593591,0.228591483006,14.9885872167,0.0424458708026,8.14407175702,0.023564828506
