"Seq","Baseline Err. Norm (trans)","(rot)","Corrected Err. Norm (trans)","(rot)","Baseline Seg Errs. (trans)","(rot)","Corrected Seg Errs.(trans)","(rot)"
"00",168.266520758,0.648295235539,114.350493949,0.499779622066,14.5165225696,0.046426441815,6.73438437464,0.0299256261039
"02",335.824427198,0.890993977991,196.898518344,0.412962928665,13.7422947809,0.0343659432817,7.49204684111,0.0251990445765
"05",73.443331325,0.214182993042,47.5028603277,0.183954862315,14.9885872167,0.0424458708026,7.11284756229,0.0246007470356
